created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Nov 12 23:59:56 +0000 2023,1.72385316540424E+018,"@JamalBoegis inshaa allah, harapan kita sama, Anies menang satu putaran, aamiin Yaa Robb ðŸ¤²   berat kondisi hariÂ² depan krn pa lurah sdh mli kelihatan cawe-cawe"" nya.  hal itu sengaja ""Tuhan"" diamkan sesaat spy puncak kecurangan nya jelas nyata, setelah itu Allah hancurkan sejadiÂ² nya!! https://t.co/O4AduwB1st""",0,0,0,1,in,374002526,1.72371253529014E+018,iccasarifien,https://twitter.com/iccasarifien/status/1723853165404242239
Sun Nov 12 23:59:45 +0000 2023,1.72385311937152E+018,@KMielva @ekokuntadhi1 Carilah ada kok di yt... Itu forum di CSIS yg pak Anies jg hadir disitu...,0,1,0,0,in,1.62282120953583E+018,1.72190611459663E+018,ElizarIrnold,https://twitter.com/ElizarIrnold/status/1723853119371522201
Sun Nov 12 23:59:17 +0000 2023,1.72385299987999E+018,habis doa Amin wajib menang amin amin menang Indonesia Senang  @aniesbaswedan @cakimiNOW https://t.co/KotaRQQofG,2,1,57,139,in,1.49315874620561E+018,1.72385299987999E+018,LANGKAHANIES,https://twitter.com/LANGKAHANIES/status/1723852999879995741
Sun Nov 12 23:59:16 +0000 2023,1.72385299526629E+018,"@AlfatihDhany @elkrova Saya RASIONAL &amp  REALISTIS Saja. @aniesbaswedan Kelas Dunia... Jauh diAtas @ganjarpranowo. [...nodebat]  Orang Cerdas, pasti memilih Anies!  ðŸ˜ŽðŸ˜ŽðŸ˜Ž https://t.co/EKMRVaH10W",1,2,0,1,in,276877872,1.72331061271187E+018,ZRsaja,https://twitter.com/ZRsaja/status/1723852995266297947
Sun Nov 12 23:58:44 +0000 2023,1.72385286327157E+018,@Papa_Brewook Tapi faktanya emang masyarakat di pedesaan tidak kenal siapa mas anies ..masih mending cak imin masih ada sebagian yang kenal...tapi yaa gitu deh...NU banyak dukung PKB tapi blm tentu mendukung cak imin...,0,5,1,6,in,1.15270780968901E+018,1.72384684457134E+018,mbahjhojho,https://twitter.com/mbahjhojho/status/1723852863271571741
Sun Nov 12 23:58:22 +0000 2023,1.72385277009086E+018,@BosPurwa @aniesbaswedan Pak Anies ini kl ksh gagasan kaya mmg udh direncanakan matang2 dan tau bagaimana implementasi nya. Kl emg insyaAllah terpilih nnti optimis SDM Indonesia lbh maju,0,1,1,0,in,419396075,1.72368155254527E+018,YogaBagas,https://twitter.com/YogaBagas/status/1723852770090861035
Sun Nov 12 23:57:53 +0000 2023,1.72385264815013E+018,@PDemokrat semangat selalu pasangan Anies-Amin yang paling terdepan membela palestina,0,0,0,0,in,1.71153763125397E+018,1.72362827834132E+018,lanzeltaro,https://twitter.com/lanzeltaro/status/1723852648150131086
Sun Nov 12 23:57:01 +0000 2023,1.72385242886332E+018,@Hasbil_Lbs Didaerah  saya kader demokrat yg pajang foto Anies...,0,0,0,0,in,1.39206934983006E+018,1.72363662701963E+018,Mudafa29,https://twitter.com/Mudafa29/status/1723852428863328352
Sun Nov 12 23:56:48 +0000 2023,1.7238523746477E+018,@mediaindonesia mantap sekali memang pak Anies yang terbaik menjadi pemimpin jujur,0,0,0,0,in,1.7114593405307E+018,1.72331464789656E+018,zentomade,https://twitter.com/zentomade/status/1723852374647701760
Sun Nov 12 23:55:49 +0000 2023,1.72385212749025E+018,@mediaindonesia pak Anies-Muhaimin memang sudah dicap pemimpin yang sangat jujur,0,0,0,0,in,1.71145934309763E+018,1.72331464789656E+018,laktoba,https://twitter.com/laktoba/status/1723852127490257389
