created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 12 23:59:56 +0000 2023;1723853165404242239;"@JamalBoegis inshaa allah, harapan kita sama, Anies menang satu putaran, aamiin Yaa Robb 🤲   berat kondisi hari² depan krn pa lurah sdh mli kelihatan "cawe-cawe" nya.  hal itu sengaja "Tuhan" diamkan sesaat spy puncak kecurangan nya jelas nyata, setelah itu Allah hancurkan sejadi² nya!! https://t.co/O4AduwB1st";0;0;0;1;in;374002526;1723712535290146968;iccasarifien;https://twitter.com/iccasarifien/status/1723853165404242239
Sun Nov 12 23:59:45 +0000 2023;1723853119371522201;"@KMielva @ekokuntadhi1 Carilah ada kok di yt... Itu forum di CSIS yg pak Anies jg hadir disitu...";0;1;0;0;in;1622821209535836160;1721906114596630685;ElizarIrnold;https://twitter.com/ElizarIrnold/status/1723853119371522201
Sun Nov 12 23:59:17 +0000 2023;1723852999879995741;"habis doa Amin wajib menang amin amin menang Indonesia Senang  @aniesbaswedan @cakimiNOW https://t.co/KotaRQQofG";2;1;57;139;in;1493158746205614080;1723852999879995741;LANGKAHANIES;https://twitter.com/LANGKAHANIES/status/1723852999879995741
Sun Nov 12 23:59:16 +0000 2023;1723852995266297947;"@AlfatihDhany @elkrova Saya RASIONAL &amp  REALISTIS Saja. @aniesbaswedan Kelas Dunia... Jauh diAtas @ganjarpranowo. [...nodebat]  Orang Cerdas, pasti memilih Anies!  😎😎😎 https://t.co/EKMRVaH10W";1;2;0;1;in;276877872;1723310612711870577;ZRsaja;https://twitter.com/ZRsaja/status/1723852995266297947
Sun Nov 12 23:58:44 +0000 2023;1723852863271571741;"@Papa_Brewook Tapi faktanya emang masyarakat di pedesaan tidak kenal siapa mas anies ..masih mending cak imin masih ada sebagian yang kenal...tapi yaa gitu deh...NU banyak dukung PKB tapi blm tentu mendukung cak imin...";0;5;1;6;in;1152707809689010176;1723846844571341012;mbahjhojho;https://twitter.com/mbahjhojho/status/1723852863271571741
Sun Nov 12 23:58:22 +0000 2023;1723852770090861035;"@BosPurwa @aniesbaswedan Pak Anies ini kl ksh gagasan kaya mmg udh direncanakan matang2 dan tau bagaimana implementasi nya. Kl emg insyaAllah terpilih nnti optimis SDM Indonesia lbh maju";0;1;1;0;in;419396075;1723681552545276306;YogaBagas;https://twitter.com/YogaBagas/status/1723852770090861035
Sun Nov 12 23:57:53 +0000 2023;1723852648150131086;"@PDemokrat semangat selalu pasangan Anies-Amin yang paling terdepan membela palestina";0;0;0;0;in;1711537631253970944;1723628278341325158;lanzeltaro;https://twitter.com/lanzeltaro/status/1723852648150131086
Sun Nov 12 23:57:01 +0000 2023;1723852428863328352;"@Hasbil_Lbs Didaerah  saya kader demokrat yg pajang foto Anies...";0;0;0;0;in;1392069349830062089;1723636627019633082;Mudafa29;https://twitter.com/Mudafa29/status/1723852428863328352
Sun Nov 12 23:56:48 +0000 2023;1723852374647701760;"@mediaindonesia mantap sekali memang pak Anies yang terbaik menjadi pemimpin jujur";0;0;0;0;in;1711459340530704387;1723314647896563940;zentomade;https://twitter.com/zentomade/status/1723852374647701760
Sun Nov 12 23:55:49 +0000 2023;1723852127490257389;"@mediaindonesia pak Anies-Muhaimin memang sudah dicap pemimpin yang sangat jujur";0;0;0;0;in;1711459343097630720;1723314647896563940;laktoba;https://twitter.com/laktoba/status/1723852127490257389
Sun Nov 12 23:56:21 +0000 2023;1723852260931940418;"@PDemokrat semangat selalu bersama Anies - Muhaimin kita semua membantu memenangkan palestina merdeka";0;0;0;0;in;1711459340530704387;1723628278341325158;zentomade;https://twitter.com/zentomade/status/1723852260931940418
Sun Nov 12 23:56:40 +0000 2023;1723852340757971240;"@DrEliDavid Nice Film  https://t.co/L9XU1AH9BF";0;0;1;1;pl;164778726;1723732779228139648;dusrimulya;https://twitter.com/dusrimulya/status/1723852340757971240
Sun Nov 12 23:55:46 +0000 2023;1723852114500386924;"Saya RASIONAL &amp  REALISTIS Saja. @aniesbaswedan Kelasnya Jauh diAtas Kandidat Capres Lainnya. [...nodebat]  Orang Cerdas, pasti memilih Anies!  😎😎😎";0;0;0;1;in;276877872;1723852114500386924;ZRsaja;https://twitter.com/ZRsaja/status/1723852114500386924
Sun Nov 12 23:55:45 +0000 2023;1723852110058705115;"@hasyimmah Saya lebih mengerti penjelasan Anies Baswedan daripada tulisan anda yg memang niatnya mau memprovokasi orang2 yang malas membaca sehingga bisa memvonis orang dengan penggalan screenshot berita.";0;0;0;0;in;1603706561821827073;1723521571766337629;TaufikWaha1;https://twitter.com/TaufikWaha1/status/1723852110058705115
Sun Nov 12 23:55:27 +0000 2023;1723852033277431984;"@PDemokrat mantap memang pak Anies-Muhaimin selalu jadi yang utama membela palestina merdeka";0;0;0;0;in;1711459343097630720;1723628278341325158;laktoba;https://twitter.com/laktoba/status/1723852033277431984
Sun Nov 12 23:54:53 +0000 2023;1723851891707408614;"@Anonymo02380092 @Bang_San77 @tvOneNews @KompasTV @Metro_TV @MataNajwa Ayo kalahkan bro... Koalisi Anies dan Ganjar buat kesepakatan. Siapa yang bisa maju ke putaran dua saling dukung.";0;0;0;0;in;2232083622;1723568807317577748;sarphanjamain1;https://twitter.com/sarphanjamain1/status/1723851891707408614
Sun Nov 12 23:54:52 +0000 2023;1723851889677090854;"@mediaindonesia semangat selalu pak Anies menjadi pemimpin indonesia";0;0;0;0;in;1711459337707937793;1723314647896563940;strafull2;https://twitter.com/strafull2/status/1723851889677090854
Sun Nov 12 23:54:43 +0000 2023;1723851852385845296;"@RaniKancana Analisis Hasil Pemilu 2024 *Putaran 1* 1.Ganjar - Mahfud  : 48% 2.Prabowo-Gibran : 35% 3.Anies - Amin : 17%  *Putaran 2* 1.Ganjar - Mahfud : 58% 2.Prabowo-Gibran : 42%";0;0;0;0;in;220260447;1723149534782771569;brilliantAbed;https://twitter.com/brilliantAbed/status/1723851852385845296
Sun Nov 12 23:53:56 +0000 2023;1723851651641917838;"@maquialifraco Xq sería el Kirchnerismo? Q la justicia actúe como debe! #MileiNo #AhoraEsMassa #MassaPresidente";0;1;1;0;es;843653149080653824;1723755616538152963;inesare1;https://twitter.com/inesare1/status/1723851651641917838
Sun Nov 12 23:53:17 +0000 2023;1723851488819343523;"@PDemokrat ayo semangat membela palestina bersama Anies-Muhaimin";0;0;0;0;in;1711456951719387138;1723628278341325158;shualfe;https://twitter.com/shualfe/status/1723851488819343523
Sun Nov 12 23:52:45 +0000 2023;1723851357596311714;"@mediaindonesia Anies-Muhaimin memang yang terbaik untuk menjadi pemimpin jujur";0;0;0;0;in;1711456950532399104;1723314647896563940;zkalfin;https://twitter.com/zkalfin/status/1723851357596311714
